Edition,NOC,Vitorias por ano
2000,LAT,3
2000,LTU,17
2000,MAR,5
2000,MDA,2
2000,MEX,6
2000,MKD,1
2000,MOZ,1
2000,NED,79
2000,NGR,8
2000,NOR,44
2000,NZL,4
2000,POL,24
2000,POR,2
2000,PRK,4
2000,QAT,1
2000,ROU,46
2000,RSA,5
2000,RUS,188
2000,SLO,3
2000,SRI,1
2000,SUI,14
2000,SVK,6
2000,SWE,32
2000,THA,3
2000,TPE,5
2000,TRI,2
2000,TUR,5
2000,UKR,35
2000,URU,1
2000,USA,248
2000,UZB,4
2000,VIE,1
2000,YUG,26
2004,ARG,47
2004,AUS,157
2004,AUT,8
2004,AZE,5
2004,BAH,2
2004,BEL,3
2004,BLR,17
2004,BRA,40
2004,BUL,17
2004,CAN,17
2004,CHI,4
2004,CHN,94
2004,CMR,1
2004,COL,2
2004,CRO,20
2004,CUB,61
2004,CZE,12
2004,DEN,29
2004,DOM,1
2004,EGY,5
2004,ERI,1
2004,ESP,27
2004,EST,3
2004,ETH,7
2004,FIN,2
2004,FRA,53
2004,GBR,57
2004,GEO,4
2004,GER,149
2004,GRE,31
2004,HKG,2
2004,HUN,40
2004,INA,5
2004,IND,1
2004,IRI,6
2004,ISR,2
2004,ITA,102
2004,JAM,13
2004,JPN,94
2004,KAZ,8
2004,KEN,7
2004,KOR,52
2004,LAT,4
2004,LTU,3
2004,MAR,3
2004,MEX,4
2004,MGL,1
2004,NED,76
2004,NGR,8
2004,NOR,7
2004,NZL,6
2004,PAR,17
2004,POL,12
2004,POR,3
2004,PRK,5
2004,ROU,39
2004,RSA,10
2004,RUS,192
2004,SCG,14
2004,SLO,5
2004,SUI,7
2004,SVK,10
2004,SWE,12
2004,SYR,1
2004,THA,8
2004,TPE,9
2004,TRI,1
2004,TUR,10
2004,UAE,1
2004,UKR,48
2004,USA,264
2004,UZB,5
2004,VEN,2
2004,ZIM,3
2008,AFG,1
2008,ALG,2
2008,ARG,51
2008,ARM,6
2008,AUS,149
2008,AUT,3
2008,AZE,7
2008,BAH,5
2008,BEL,5
2008,BLR,30
2008,BRA,75
2008,BUL,5
2008,CAN,34
